1	86	187	40
2	77	176	35
3	84	189	34
4	79	180	29
5	68	172	42
6	81	176	35
7	87	181	45
8	86	183	36
9	80	184	28
10	79	184	21
11	90	182	47
12	64	171	49
13	84	179	39
14	89	184	34
15	93	183	43
16	87	180	22
17	67	178	31
18	80	175	38
19	94	190	35
20	86	183	42
21	92	181	49
22	84	186	20
23	50	168	22
24	90	182	50
25	91	187	38
26	49	168	43
27	82	182	30
28	95	184	43
29	69	178	30
30	86	191	31
31	91	190	28
32	85	182	35
33	83	182	40
34	93	184	41
35	99	188	46
36	80	186	30
37	101	187	46
38	73	175	27
39	89	190	26
40	83	177	49
41	76	174	30
42	58	169	26
43	67	173	26
44	96	190	45
45	97	188	35
46	82	178	25
47	73	178	38
48	72	187	31
49	73	181	50
50	80	182	36
51	70	179	21
52	96	185	31
53	65	170	41
54	80	182	35
55	87	179	47
56	84	183	24
57	72	175	32
58	72	176	35
59	72	178	20
60	83	181	44
61	74	176	41
62	89	178	33
63	87	185	20
64	64	174	26
65	81	181	38
66	73	179	21
67	91	181	44
68	50	165	23
69	75	173	41
70	90	180	38
71	76	182	25
72	84	176	40
73	77	182	40
74	60	177	38
75	54	166	24
76	84	175	34
77	88	188	44
78	72	175	40
79	75	175	50
80	76	182	36
81	90	192	33
82	76	175	38
83	74	179	39
84	86	179	44
85	67	175	38
86	69	176	22
87	83	184	27
88	86	180	47
89	76	172	41
90	82	187	25
91	60	164	41
92	81	183	45
93	72	173	26
94	91	183	40
95	80	184	24
96	76	180	29
97	76	173	24
98	69	178	36
99	83	176	50
100	83	184	36
101	82	180	42
102	64	170	42
103	81	181	33
104	79	176	23
105	88	192	39
106	58	168	29
107	94	185	40
108	98	190	35
109	65	173	28
110	92	187	24
111	71	177	30
112	90	179	49
113	58	175	35
114	75	178	37
115	97	182	48
116	60	171	27
117	83	183	37
118	91	193	40
119	82	183	44
120	79	185	22
121	81	186	33
122	81	176	25
123	95	191	27
124	59	172	50
125	90	186	38
126	73	182	25
127	71	176	20
128	81	174	45
129	84	175	46
130	63	171	23
131	93	186	22
132	63	170	33

