Trimestre;Sexo;Idade;Faixa_Etaria;Cor_Raca;Nivel_Instrucao;Anos_Estudo;Anos_Estudo_Num;Forca_Trabalho;Ocupacao;Posicao_Ocupacao;Ocupacao_Grupo;Horas_Trabalhadas;Grupo_Jornada;Renda;Faixa_Renda;Urbano
T4;Homem;28;25 a 39 anos;Branca;Médio completo ou equivalente;12 anos de estudo;12;Pessoas na força de trabalho;Pessoas ocupadas;Conta-própria;Profissionais das ciências e intelectuais;20;Até 20h;1500;Mais de 1 a 2 salários mínimos;Urbana
T4;Mulher;28;25 a 39 anos;Parda;Superior completo;16 anos ou mais de estudo;16;Pessoas na força de trabalho;Pessoas ocupadas;Conta-própria;Profissionais das ciências e intelectuais;40;21h a 40h;2500;Mais de 1 a 2 salários mínimos;Urbana
T4;Homem;40;40 a 59 anos;Parda;Superior completo;16 anos ou mais de estudo;16;Pessoas na força de trabalho;Pessoas ocupadas;Militar/estatutário;Trabalhadores de apoio administrativo;40;21h a 40h;1412;Até 1 salário mínimo;Urbana
T4;Mulher;46;40 a 59 anos;Parda;Superior completo;16 anos ou mais de estudo;16;Pessoas na força de trabalho;Pessoas ocupadas;Militar/estatutário;Profissionais das ciências e intelectuais;40;21h a 40h;5600;Mais de 3 a 4 salários mínimos;Urbana
T4;Mulher;36;25 a 39 anos;Parda;Superior incompleto ou equivalente;14 anos de estudo;14;Pessoas na força de trabalho;Pessoas ocupadas;Público sem carteira;Trabalhadores de apoio administrativo;20;Até 20h;1412;Até 1 salário mínimo;Urbana
T4;Mulher;17;14 a 17 anos;Parda;Médio incompleto ou equivalente;10 anos de estudo;10;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Homem;4;Menos de 14 anos;Parda;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Mulher;39;25 a 39 anos;Parda;Médio completo ou equivalente;12 anos de estudo;12;Pessoas na força de trabalho;Pessoas ocupadas;Conta-própria;Trabalhadores dos serviços, vendedores dos comércios e mercados;48;Acima de 44h;2500;Mais de 1 a 2 salários mínimos;Urbana
T4;Homem;47;40 a 59 anos;Parda;Fundamental incompleto ou equivalente;8 anos de estudo;8;Pessoas na força de trabalho;Pessoas ocupadas;Privado com carteira;Operadores de instalações e máquinas e montadores;48;Acima de 44h;1412;Até 1 salário mínimo;Urbana
T4;Homem;19;18 a 24 anos;Branca;Superior incompleto ou equivalente;13 anos de estudo;13;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Homem;12;Menos de 14 anos;Branca;Fundamental incompleto ou equivalente;6 anos de estudo;6;NA;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Homem;52;40 a 59 anos;Preta;Superior completo;16 anos ou mais de estudo;16;Pessoas na força de trabalho;Pessoas ocupadas;Militar/estatutário;Profissionais das ciências e intelectuais;40;21h a 40h;4450;Mais de 3 a 4 salários mínimos;Urbana
T4;Mulher;40;40 a 59 anos;Preta;Superior completo;16 anos ou mais de estudo;16;Pessoas na força de trabalho;Pessoas ocupadas;Privado com carteira;Trabalhadores dos serviços, vendedores dos comércios e mercados;44;41h a 44h;1412;Até 1 salário mínimo;Urbana
T4;Mulher;67;60 anos ou mais;Parda;Fundamental incompleto ou equivalente;3 anos de estudo;3;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Homem;47;40 a 59 anos;Preta;Fundamental incompleto ou equivalente;2 anos de estudo;2;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Homem;32;25 a 39 anos;Branca;Médio incompleto ou equivalente;11 anos de estudo;11;Pessoas na força de trabalho;Pessoas ocupadas;Privado sem carteira;Ocupações elementares;16;Até 20h;500;Até 1 salário mínimo;Urbana
T4;Mulher;9;Menos de 14 anos;Branca;Fundamental incompleto ou equivalente;2 anos de estudo;2;NA;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Mulher;8;Menos de 14 anos;Parda;Fundamental incompleto ou equivalente;1 ano de estudo;1;NA;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Homem;6;Menos de 14 anos;Branca;Sem instrução e menos de 1 ano de estudo;Sem instrução e menos de 1 ano de estudo;0;NA;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Mulher;51;40 a 59 anos;Parda;Médio completo ou equivalente;12 anos de estudo;12;Pessoas na força de trabalho;Pessoas ocupadas;Conta-própria;Trabalhadores dos serviços, vendedores dos comércios e mercados;48;Acima de 44h;1400;Até 1 salário mínimo;Urbana
T4;Homem;65;60 anos ou mais;Parda;Superior completo;16 anos ou mais de estudo;16;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Mulher;14;14 a 17 anos;Parda;Fundamental incompleto ou equivalente;8 anos de estudo;8;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Homem;8;Menos de 14 anos;Parda;Sem instrução e menos de 1 ano de estudo;Sem instrução e menos de 1 ano de estudo;0;NA;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Mulher;23;18 a 24 anos;Parda;Superior completo;16 anos ou mais de estudo;16;Pessoas na força de trabalho;Pessoas ocupadas;Privado com carteira;Profissionais das ciências e intelectuais;48;Acima de 44h;3700;Mais de 2 a 3 salários mínimos;Urbana
T4;Mulher;81;60 anos ou mais;Parda;Sem instrução e menos de 1 ano de estudo;Sem instrução e menos de 1 ano de estudo;0;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Homem;29;25 a 39 anos;Parda;Superior completo;16 anos ou mais de estudo;16;Pessoas na força de trabalho;Pessoas ocupadas;Conta-própria;Profissionais das ciências e intelectuais;5;Até 20h;400;Até 1 salário mínimo;Urbana
T4;Mulher;27;25 a 39 anos;Preta;Médio incompleto ou equivalente;11 anos de estudo;11;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Mulher;10;Menos de 14 anos;Parda;Fundamental incompleto ou equivalente;4 anos de estudo;4;NA;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Homem;6;Menos de 14 anos;Parda;Sem instrução e menos de 1 ano de estudo;Sem instrução e menos de 1 ano de estudo;0;NA;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Homem;50;40 a 59 anos;Branca;Médio completo ou equivalente;12 anos de estudo;12;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Mulher;52;40 a 59 anos;Parda;Médio completo ou equivalente;12 anos de estudo;12;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Homem;82;60 anos ou mais;Preta;Sem instrução e menos de 1 ano de estudo;Sem instrução e menos de 1 ano de estudo;0;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Mulher;70;60 anos ou mais;Preta;Fundamental incompleto ou equivalente;5 anos de estudo;5;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Homem;20;18 a 24 anos;Preta;Médio completo ou equivalente;12 anos de estudo;12;Pessoas na força de trabalho;Pessoas ocupadas;Privado sem carteira;Trabalhadores qualificados, operários e artesões da construção, das artes mecânicas e outros ofícios;64;Acima de 44h;2000;Mais de 1 a 2 salários mínimos;Urbana
T4;Mulher;17;14 a 17 anos;Preta;Médio incompleto ou equivalente;11 anos de estudo;11;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Mulher;8;Menos de 14 anos;Preta;Sem instrução e menos de 1 ano de estudo;Sem instrução e menos de 1 ano de estudo;0;NA;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Homem;49;40 a 59 anos;Parda;Médio completo ou equivalente;12 anos de estudo;12;Pessoas na força de trabalho;Pessoas ocupadas;Militar/estatutário;Técnicos e profissionais de nível médio;40;21h a 40h;4500;Mais de 3 a 4 salários mínimos;Urbana
T4;Mulher;47;40 a 59 anos;Preta;Médio completo ou equivalente;12 anos de estudo;12;Pessoas na força de trabalho;Pessoas ocupadas;Conta-própria;Trabalhadores dos serviços, vendedores dos comércios e mercados;20;Até 20h;400;Até 1 salário mínimo;Urbana
T4;Homem;23;18 a 24 anos;Parda;Médio completo ou equivalente;12 anos de estudo;12;Pessoas na força de trabalho;Pessoas ocupadas;Privado sem carteira;Operadores de instalações e máquinas e montadores;24;21h a 40h;800;Até 1 salário mínimo;Urbana
T4;Homem;20;18 a 24 anos;Parda;Médio completo ou equivalente;12 anos de estudo;12;Pessoas na força de trabalho;Pessoas ocupadas;Privado sem carteira;Trabalhadores dos serviços, vendedores dos comércios e mercados;20;Até 20h;700;Até 1 salário mínimo;Urbana
T4;Homem;10;Menos de 14 anos;Parda;Fundamental incompleto ou equivalente;3 anos de estudo;3;NA;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Homem;75;60 anos ou mais;Parda;Sem instrução e menos de 1 ano de estudo;Sem instrução e menos de 1 ano de estudo;0;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Mulher;35;25 a 39 anos;Parda;Fundamental completo ou equivalente;9 anos de estudo;9;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Homem;17;14 a 17 anos;Branca;Fundamental incompleto ou equivalente;7 anos de estudo;7;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Homem;15;14 a 17 anos;Parda;Fundamental incompleto ou equivalente;7 anos de estudo;7;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Homem;41;40 a 59 anos;Branca;Médio completo ou equivalente;12 anos de estudo;12;Pessoas na força de trabalho;Pessoas ocupadas;Conta-própria;Trabalhadores dos serviços, vendedores dos comércios e mercados;6;Até 20h;1000;Até 1 salário mínimo;Urbana
T4;Mulher;49;40 a 59 anos;Branca;Médio completo ou equivalente;12 anos de estudo;12;Pessoas na força de trabalho;Pessoas ocupadas;Militar/estatutário;Técnicos e profissionais de nível médio;30;21h a 40h;9500;Mais de 5 salários mínimos;Urbana
T4;Homem;15;14 a 17 anos;Branca;Fundamental incompleto ou equivalente;8 anos de estudo;8;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Mulher;38;25 a 39 anos;Parda;Fundamental completo ou equivalente;9 anos de estudo;9;Pessoas na força de trabalho;Pessoas ocupadas;Doméstico sem carteira;Trabalhadores dos serviços, vendedores dos comércios e mercados;30;21h a 40h;500;Até 1 salário mínimo;Urbana
T4;Mulher;17;14 a 17 anos;Parda;Fundamental completo ou equivalente;9 anos de estudo;9;Pessoas na força de trabalho;Pessoas ocupadas;Doméstico sem carteira;Trabalhadores dos serviços, vendedores dos comércios e mercados;10;Até 20h;200;Até 1 salário mínimo;Urbana
T4;Homem;14;14 a 17 anos;Parda;Fundamental incompleto ou equivalente;6 anos de estudo;6;Pessoas na força de trabalho;Pessoas desocupadas;NA;NA;NA;NA;NA;NA;Urbana
T4;Mulher;11;Menos de 14 anos;Branca;Fundamental incompleto ou equivalente;4 anos de estudo;4;NA;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Homem;4;Menos de 14 anos;Parda;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Mulher;44;40 a 59 anos;Parda;Médio incompleto ou equivalente;11 anos de estudo;11;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Homem;47;40 a 59 anos;Preta;Fundamental incompleto ou equivalente;5 anos de estudo;5;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Homem;17;14 a 17 anos;Preta;Médio incompleto ou equivalente;10 anos de estudo;10;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Mulher;15;14 a 17 anos;Parda;Fundamental incompleto ou equivalente;8 anos de estudo;8;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Homem;50;40 a 59 anos;Preta;Fundamental incompleto ou equivalente;2 anos de estudo;2;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Mulher;47;40 a 59 anos;Preta;Médio incompleto ou equivalente;10 anos de estudo;10;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Mulher;88;60 anos ou mais;Parda;Fundamental incompleto ou equivalente;3 anos de estudo;3;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Homem;54;40 a 59 anos;Parda;Fundamental completo ou equivalente;9 anos de estudo;9;Pessoas na força de trabalho;Pessoas ocupadas;Conta-própria;Operadores de instalações e máquinas e montadores;24;21h a 40h;300;Até 1 salário mínimo;Urbana
T4;Mulher;18;18 a 24 anos;Parda;Médio incompleto ou equivalente;10 anos de estudo;10;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Mulher;33;25 a 39 anos;Parda;Médio completo ou equivalente;12 anos de estudo;12;Pessoas na força de trabalho;Pessoas desocupadas;NA;NA;NA;NA;NA;NA;Urbana
T4;Homem;6;Menos de 14 anos;Parda;Sem instrução e menos de 1 ano de estudo;Sem instrução e menos de 1 ano de estudo;0;NA;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Mulher;66;60 anos ou mais;Parda;Sem instrução e menos de 1 ano de estudo;Sem instrução e menos de 1 ano de estudo;0;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Homem;42;40 a 59 anos;Parda;Fundamental incompleto ou equivalente;2 anos de estudo;2;Pessoas na força de trabalho;Pessoas desocupadas;NA;NA;NA;NA;NA;NA;Urbana
T4;Homem;38;25 a 39 anos;Parda;Fundamental incompleto ou equivalente;3 anos de estudo;3;Pessoas na força de trabalho;Pessoas desocupadas;NA;NA;NA;NA;NA;NA;Urbana
T4;Homem;52;40 a 59 anos;Parda;Fundamental incompleto ou equivalente;3 anos de estudo;3;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Mulher;52;40 a 59 anos;Parda;Fundamental incompleto ou equivalente;5 anos de estudo;5;Pessoas na força de trabalho;Pessoas ocupadas;Doméstico sem carteira;Ocupações elementares;16;Até 20h;300;Até 1 salário mínimo;Urbana
T4;Mulher;70;60 anos ou mais;Preta;Fundamental incompleto ou equivalente;5 anos de estudo;5;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Homem;70;60 anos ou mais;Preta;Sem instrução e menos de 1 ano de estudo;Sem instrução e menos de 1 ano de estudo;0;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Mulher;20;18 a 24 anos;Preta;Médio completo ou equivalente;12 anos de estudo;12;Pessoas na força de trabalho;Pessoas ocupadas;Doméstico sem carteira;Trabalhadores dos serviços, vendedores dos comércios e mercados;40;21h a 40h;1420;Mais de 1 a 2 salários mínimos;Urbana
T4;Mulher;43;40 a 59 anos;Parda;Superior completo;16 anos ou mais de estudo;16;Pessoas na força de trabalho;Pessoas desocupadas;NA;NA;NA;NA;NA;NA;Urbana
T4;Mulher;22;18 a 24 anos;Parda;Médio incompleto ou equivalente;11 anos de estudo;11;Pessoas na força de trabalho;Pessoas desocupadas;NA;NA;NA;NA;NA;NA;Urbana
T4;Mulher;6;Menos de 14 anos;Parda;Sem instrução e menos de 1 ano de estudo;Sem instrução e menos de 1 ano de estudo;0;NA;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Homem;5;Menos de 14 anos;Parda;Sem instrução e menos de 1 ano de estudo;Sem instrução e menos de 1 ano de estudo;0;NA;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Mulher;56;40 a 59 anos;Parda;Fundamental incompleto ou equivalente;6 anos de estudo;6;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Homem;56;40 a 59 anos;Parda;Fundamental incompleto ou equivalente;6 anos de estudo;6;Pessoas na força de trabalho;Pessoas ocupadas;Privado sem carteira;Ocupações elementares;8;Até 20h;20;Até 1 salário mínimo;Urbana
T4;Homem;34;25 a 39 anos;Parda;Sem instrução e menos de 1 ano de estudo;Sem instrução e menos de 1 ano de estudo;0;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Mulher;20;18 a 24 anos;Branca;Médio completo ou equivalente;12 anos de estudo;12;Pessoas na força de trabalho;Pessoas ocupadas;Privado sem carteira;Trabalhadores dos serviços, vendedores dos comércios e mercados;60;Acima de 44h;1200;Até 1 salário mínimo;Urbana
T4;Homem;18;18 a 24 anos;Parda;Médio incompleto ou equivalente;10 anos de estudo;10;Pessoas na força de trabalho;Pessoas ocupadas;Privado sem carteira;Ocupações elementares;40;21h a 40h;800;Até 1 salário mínimo;Urbana
T4;Homem;51;40 a 59 anos;Preta;Médio completo ou equivalente;12 anos de estudo;12;Pessoas na força de trabalho;Pessoas ocupadas;Conta-própria;Técnicos e profissionais de nível médio;40;21h a 40h;2800;Mais de 1 a 2 salários mínimos;Urbana
T4;Mulher;44;40 a 59 anos;Parda;Superior completo;16 anos ou mais de estudo;16;Pessoas na força de trabalho;Pessoas ocupadas;Militar/estatutário;Profissionais das ciências e intelectuais;40;21h a 40h;8599;Mais de 5 salários mínimos;Urbana
T4;Mulher;13;Menos de 14 anos;Preta;Fundamental incompleto ou equivalente;7 anos de estudo;7;NA;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Mulher;78;60 anos ou mais;Parda;Superior incompleto ou equivalente;16 anos ou mais de estudo;16;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Homem;50;40 a 59 anos;Parda;Fundamental incompleto ou equivalente;5 anos de estudo;5;Pessoas na força de trabalho;Pessoas ocupadas;Público sem carteira;Trabalhadores dos serviços, vendedores dos comércios e mercados;40;21h a 40h;1420;Mais de 1 a 2 salários mínimos;Urbana
T4;Mulher;42;40 a 59 anos;Parda;Fundamental completo ou equivalente;9 anos de estudo;9;Pessoas na força de trabalho;Pessoas ocupadas;Doméstico sem carteira;Ocupações elementares;40;21h a 40h;800;Até 1 salário mínimo;Urbana
T4;Homem;21;18 a 24 anos;Parda;Médio incompleto ou equivalente;11 anos de estudo;11;Pessoas na força de trabalho;Pessoas desocupadas;NA;NA;NA;NA;NA;NA;Urbana
T4;Mulher;15;14 a 17 anos;Parda;Fundamental completo ou equivalente;9 anos de estudo;9;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Mulher;42;40 a 59 anos;Parda;Fundamental completo ou equivalente;9 anos de estudo;9;Pessoas na força de trabalho;Pessoas ocupadas;Doméstico sem carteira;Ocupações elementares;24;21h a 40h;400;Até 1 salário mínimo;Urbana
T4;Homem;44;40 a 59 anos;Parda;Fundamental incompleto ou equivalente;5 anos de estudo;5;Pessoas na força de trabalho;Pessoas ocupadas;Privado sem carteira;Ocupações elementares;16;Até 20h;180;Até 1 salário mínimo;Urbana
T4;Mulher;17;14 a 17 anos;Parda;Médio incompleto ou equivalente;10 anos de estudo;10;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Mulher;29;25 a 39 anos;Parda;Médio incompleto ou equivalente;10 anos de estudo;10;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Homem;9;Menos de 14 anos;Parda;Fundamental incompleto ou equivalente;3 anos de estudo;3;NA;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Mulher;2;Menos de 14 anos;Parda;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Homem;46;40 a 59 anos;Parda;Médio completo ou equivalente;12 anos de estudo;12;Pessoas na força de trabalho;Pessoas ocupadas;Empregador;Trabalhadores qualificados, operários e artesões da construção, das artes mecânicas e outros ofícios;44;41h a 44h;2800;Mais de 1 a 2 salários mínimos;Urbana
T4;Mulher;42;40 a 59 anos;Parda;Médio completo ou equivalente;12 anos de estudo;12;Pessoas na força de trabalho;Pessoas ocupadas;Privado sem carteira;Trabalhadores dos serviços, vendedores dos comércios e mercados;44;41h a 44h;500;Até 1 salário mínimo;Urbana
T4;Mulher;10;Menos de 14 anos;Parda;Fundamental incompleto ou equivalente;4 anos de estudo;4;NA;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Homem;16;14 a 17 anos;Parda;Médio incompleto ou equivalente;10 anos de estudo;10;Pessoas na força de trabalho;Pessoas ocupadas;Conta-própria;Trabalhadores dos serviços, vendedores dos comércios e mercados;52;Acima de 44h;800;Até 1 salário mínimo;Urbana
T4;Mulher;36;25 a 39 anos;Parda;Médio completo ou equivalente;12 anos de estudo;12;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
T4;Mulher;27;25 a 39 anos;Branca;Superior completo;16 anos ou mais de estudo;16;Pessoas na força de trabalho;Pessoas ocupadas;Privado com carteira;Trabalhadores de apoio administrativo;40;21h a 40h;1412;Até 1 salário mínimo;Urbana
T4;Mulher;22;18 a 24 anos;Parda;Superior incompleto ou equivalente;15 anos de estudo;15;Pessoas na força de trabalho;Pessoas ocupadas;Conta-própria;Trabalhadores dos serviços, vendedores dos comércios e mercados;12;Até 20h;100;Até 1 salário mínimo;Urbana
T4;Mulher;81;60 anos ou mais;Branca;Superior completo;16 anos ou mais de estudo;16;Pessoas fora da força de trabalho;NA;NA;NA;NA;NA;NA;NA;Urbana
